"country";"geo_longitude";"geo_latitude"
"Costa Rica";"-84.0739102";"10.2735633"
"Cambodia";"104.869423";"13.5066394"
"Eritrea";"37.9999668";"15.9500319"
"Turkey";"34.9249653";"38.9597594"
"Chad";"19.0156172";"15.6134137"
"Cyprus";"33.1451285";"34.9823018"
"Samoa";"-171.9333697";"-13.7332708"
"Vietnam";"108.4265113";"13.2904027"
"Jamaica";"-77.3947693";"18.1850507"
"Antigua and Barbuda";"-61.8222516";"17.079128"
"Cameroon";"13.1535811";"4.6125522"
"Saudi Arabia";"42.3528328";"25.6242618"
"Macedonia";"21.7168387";"41.6171214"
"Gambia";"-15.4900464";"13.470062"
"Netherlands";"5.53445746584715";"52.2378498"
"Nigeria";"7.9999721";"9.6000359"
"Lebanon";"35.843409";"33.8750629"
"Scotland";"-4.1140518";"56.7861112"
"Australia";"136.1048783";"-27.2692649"
"Bahamas";"-78.0000547";"24.7736546"
"Uganda";"32.2166578";"1.5333554"
"Belize";"-88.7600927";"16.8259793"
"Argentina";"-65.241974";"-35.1124869"
"Burkina Faso";"-2.3700296";"11.7100294"
"Northern Ireland";"-6.9591554";"54.5859836"
"Cuba";"-80.8328748";"23.0131338"
"Georgia (Country)";"121.1135657";"14.6250856"
"Korea, South";"16.74583";"53.60594"
"Azerbaijan";"47.8207429";"40.1636668"
"Brazil";"-51.3333976";"-8.4666145"
"Senegal";"-14.4529612";"14.4750607"
"Hungary";"19.5060937";"47.1817585"
"Mozambique";"34.9144977";"-19.302233"
"Solomon Islands";"159.0048709";"-8.2622822"
"Mexico";"-100.0000375";"22.5000485"
"Sri Lanka";"80.8338443";"7.9090561"
"Peru";"-75.0458515";"-6.8699697"
"Bhutan";"90.5119273";"27.549511"
"Bosnia-Herzegovina";"18.0075263";"44.1264398"
"Algeria";"2.9999825";"28.0000272"
"Kyrgyzstan";"74.724091";"41.5089324"
"Malaysia";"112.8471939";"2.3923759"
"Spain";"-4.003104";"40.0028028"
"Belarus";"27.6999547";"53.4250438"
"Jordan";"36.941628";"31.1667049"
"Zimbabwe";"29.7468414";"-18.4554963"
"Ireland";"-7.9794599";"52.865196"
"Haiti";"-72.3570972";"19.1399952"
"Malawi";"33.9301963";"-13.2687204"
"Iceland";"-18.1059013";"64.9841821"
"Trinidad and Tobago";"-60.9821067";"10.8677845"
"Puerto Rico";"-66.5841246";"18.2017809"
"Austria";"13.199959";"47.2000338"
"Panama";"-81.3066246";"8.3096067"
"South Africa";"24.991639";"-28.8166236"
"Somalia";"49.083416";"8.3676771"
"Poland";"19.0258159";"52.0977181"
"Palestinian Territory";"35.1620722";"31.6497405"
"Honduras";"-84.5978534";"15.0610686"
"Laos";"103.378253";"20.0171109"
"Albania";"19.9999619";"41.000028"
"Croatia";"17.0118954";"45.5643442"
"Tunisia";"8.91972381599097";"33.9220712"
"Italy";"12.674297";"42.6384261"
"Sweden";"14.5208584";"59.6749712"
"Malta";"14.504285";"35.8953019"
"India";"78.6677428";"22.3511148"
"Paraguay";"-58.1693445";"-23.3165935"
"Morocco";"-7.3205368";"31.2005672"
"Philippines";"122.7312101";"12.7503486"
"Sudan";"30.4849638687757";"16.30323425"
"Cote d'Ivoire";"-5.5679458";"7.9897371"
"Tanzania";"35.7878438";"-6.5247123"
"Norway";"9.0999715";"60.5000209"
"Bulgaria";"25.4856617";"42.6073975"
"Guatemala";"-89.8988087";"15.6356088"
"Germany";"7.45860589983153";"54.0731702"
"France";"1.8883335";"46.603354"
"Iraq";"44.1749775";"33.0955793"
"Colombia";"-73.7845072";"2.8930783"
"Japan";"139.2394179";"36.5748441"
"Ecuador";"-79.3666965";"-1.3397668"
"Nepal";"84.0916787";"28.1083178"
"Saint Lucia";"-60.975036";"13.8250489"
"Grenada";"-61.6904045";"12.1360374"
"Russia";"97.7453061";"64.6863136"
"Denmark";"10.3333283";"55.670249"
"Lithuania";"23.7499998";"55.3500003"
"Bangladesh";"90.2932426";"24.4768783"
"Barbados";"-59.5250305";"13.1500331"
"Swaziland";"31.3991317";"-26.5624806"
"Dominican Republic";"-70.3012705";"19.094175"
"Egypt";"29.6412914394044";"26.9405829"
"Zambia";"27.5599164";"-14.5186239"
"Suriname";"-56.0771187";"4.1413025"
"Guyana";"-58.6416891";"4.8417097"
"Sierra Leone";"-11.8400269";"8.6400349"
"Bermuda";"-64.7603583";"32.3018217"
"United States";"-100.4458825";"39.7837304"
"Equatorial Guinea";"10.5170357";"1.613172"
"Benin";"2.1005516";"9.557657"
"Angola";"17.5691241";"-11.8775768"
"Nicaragua";"-84.8700308";"12.3724928"
"Afghanistan";"64.9998468";"33.0000866"
"Czech Republic";"15.4749544";"49.8167003"
"Korea, North";"6.81344379843485";"61.18533485"
"Ghana";"-1.0800271";"8.0300284"
"Ethiopia";"38.6521203";"10.2116702"
"Gabon";"11.6899699";"-0.8999695"
"Israel";"35.0015196";"30.8760272"
"Chile";"-71.3187697";"-31.7613365"
"New Zealand";"174.9746507";"-41.3116998"
"El Salvador";"-88.9140683";"13.8000382"
"Botswana";"24.5928742";"-23.1681782"
"Finland";"25.9209164";"63.2467777"
"Papua New Guinea";"144.2489081";"-5.6816069"
"England";"-1.2649062";"52.5310214"
"USSR (former)";"37.6178";"55.7517"
"Thailand";"100.83273";"14.8971921"
"Latvia";"24.5999717";"56.8666904"
"Serbia and Montenegro";"20.4667";"44.8167"
"Venezuela";"-66.1109318";"8.0018709"
"Uruguay";"-56.0201525";"-32.8755548"
"Iran";"52.9471344";"32.9407496"
"Congo (Democratic Republic)";"38.7703362";"9.0096693"
"Lesotho";"28.0902977";"-29.4623731"
"Ukraine";"31.2718321";"49.4871968"
"Wales";"-3.8968965";"52.1297801"
"French Guiana";"1.8883335";"46.603354"
"Portugal";"-8.56083284682863";"39.4303791"
"Romania";"24.6859225";"45.9852129"
"Liberia";"-9.3658524";"5.7499721"
"Canada";"-107.9917071";"61.0666922"
"China";"104.999927";"35.000074"
"Tajikistan";"71.2083055";"38.825034"
"Yugoslavia (former)";"20.463932";"44.812646"
"Kenya";"38.4313975";"1.4419683"
"United Kingdom";"-3.2765753";"54.7023545"
"Armenia";"44.6736646";"40.7696272"
"Greece";"23.2120468090694";"38.25622045"
"Myanmar";"95.6198303370171";"19.0426675"
"Yemen";"53.9115208743668";"12.4106362"
"Switzerland";"8.2319736";"46.7985624"
"Indonesia";"114.5632032";"-4.7993356"
"Bolivia";"-62.7866887";"-16.1779043"
"Rwanda";"30.0644358";"-1.9646631"
"Martinique";"-60.9620777";"14.6113732"
"Mali";"-2.2900239";"16.3700359"
"French Polynesia";"-148.9504015";"-16.9136995"